wpt0;0.04;-0.13
wpt1;-0.11;0.14
wpt2;-0.01;0.17
wpt3;0.14;0.16
wpt4;-0.19;-0.14
wpt5;0.32;-0.01
0.00;0.00;0.38;0.01;-3.10
0.04;-0.13;0.38;0.01;-3.10
0.04;-0.13;0.38;0.01;-3.10
0.04;-0.13;0.37;0.01;-3.03
0.04;-0.13;0.37;0.01;-2.97
0.04;-0.13;0.36;0.01;-2.90
0.04;-0.13;0.35;0.00;-2.81
0.04;-0.13;0.34;-0.00;-2.72
0.04;-0.13;0.33;-0.01;-2.65
0.04;-0.13;0.32;-0.02;-2.58
0.04;-0.13;0.31;-0.02;-2.50
0.04;-0.13;0.30;-0.03;-2.49
0.04;-0.13;0.29;-0.04;-2.47
0.04;-0.13;0.29;-0.05;-2.46
0.04;-0.13;0.28;-0.05;-2.45
0.04;-0.13;0.27;-0.06;-2.45
0.04;-0.13;0.26;-0.07;-2.45
0.04;-0.13;0.25;-0.07;-2.46
0.04;-0.13;0.24;-0.08;-2.47
0.04;-0.13;0.23;-0.09;-2.48
0.04;-0.13;0.22;-0.09;-2.49
0.04;-0.13;0.22;-0.10;-2.48
0.04;-0.13;0.21;-0.11;-2.48
0.04;-0.13;0.20;-0.11;-2.51
0.04;-0.13;0.19;-0.12;-2.57
0.04;-0.13;0.18;-0.12;-2.58
0.04;-0.13;0.17;-0.13;-2.60
0.04;-0.13;0.16;-0.13;-2.62
0.04;-0.13;0.15;-0.14;-2.66
0.04;-0.13;0.14;-0.14;-2.70
0.04;-0.13;0.13;-0.14;-2.72
0.04;-0.13;0.12;-0.15;-2.76
0.04;-0.13;0.11;-0.15;-2.80
0.04;-0.13;0.10;-0.15;-2.85
0.04;-0.13;0.09;-0.15;-2.90
0.04;-0.13;0.08;-0.15;-2.96
0.04;-0.13;0.07;-0.15;-3.04
0.04;-0.13;0.06;-0.15;3.14
0.04;-0.13;0.05;-0.15;3.05
0.04;-0.13;0.04;-0.15;2.98
0.04;-0.13;0.03;-0.14;2.90
0.04;-0.13;0.02;-0.14;2.82
0.04;-0.13;0.02;-0.13;2.72
0.04;-0.13;0.02;-0.13;2.65
0.04;-0.13;0.02;-0.13;2.57
0.04;-0.13;0.02;-0.13;2.47
0.04;-0.13;0.03;-0.13;2.41
0.04;-0.13;0.04;-0.14;2.29
-0.11;0.14;0.04;-0.14;2.22
-0.11;0.14;0.05;-0.15;2.29
-0.11;0.14;0.04;-0.15;2.33
-0.11;0.14;0.05;-0.16;2.40
-0.11;0.14;0.06;-0.16;2.47
-0.11;0.14;0.06;-0.17;2.49
-0.11;0.14;0.06;-0.17;2.54
-0.11;0.14;0.06;-0.17;2.61
-0.11;0.14;0.07;-0.18;2.68
-0.11;0.14;0.07;-0.18;2.74
